Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
実況雨量全国合成プロダクト,10,1,パラメータカテゴリー,(see Code table 4.1),,4.1,,Local
実況雨量全国合成プロダクト,11,1,パラメータ番号,(see Code table 4.2),,4.2,,Local
実況雨量全国合成プロダクト,12,1,作成処理の種類,(see Code table 4.3),,4.3,,Local
実況雨量全国合成プロダクト,13,1,背景作成処理識別符,(see Code table JMA4.1),,JMA4.1,,Local
実況雨量全国合成プロダクト,14,1,予報の作成処理識別符,(see Code table JMA4.2),,JMA4.2,,Local
実況雨量全国合成プロダクト,15-16,2,観測資料の参照時刻からの締切時間（時）,,,,,Local
実況雨量全国合成プロダクト,17,1,観測資料の参照時刻からの締切時間（分）,,,,,Local
実況雨量全国合成プロダクト,18,1,期間の単位の指示符,(see Code table 4.4),,4.4,,Local
実況雨量全国合成プロダクト,19-22,4,予報時間,,,,,Local
実況雨量全国合成プロダクト,23,1,第一固定面の種類,(see Code table 4.5),,4.5,,Local
実況雨量全国合成プロダクト,24,1,第一固定面の尺度因子,,,,,Local
実況雨量全国合成プロダクト,25-28,4,第一固定面の尺度付きの値,,,,,Local
実況雨量全国合成プロダクト,29,1,第二固定面の種類,(see Code table 4.5),,4.5,,Local
実況雨量全国合成プロダクト,30,1,第二固定面の尺度因子,,,,,Local
実況雨量全国合成プロダクト,31-34,4,第二固定面の尺度付きの値,,,,,Local
実況雨量全国合成プロダクト,35-36,2,全時間間隔の終了時（年）,,,,,Local
実況雨量全国合成プロダクト,37,1,全時間間隔の終了時（月）,,,,,Local
実況雨量全国合成プロダクト,38,1,全時間間隔の終了時（日）,,,,,Local
実況雨量全国合成プロダクト,39,1,全時間間隔の終了時（時）,,,,,Local
実況雨量全国合成プロダクト,40,1,全時間間隔の終了時（分）,,,,,Local
実況雨量全国合成プロダクト,41,1,全時間間隔の終了時（秒）,,,,,Local
実況雨量全国合成プロダクト,42,1,統計を算出するために使用した時間間隔を記述する期間の仕様の数,,,,,Local
実況雨量全国合成プロダクト,43-46,4,統計処理における欠測資料の総数,,,,,Local
実況雨量全国合成プロダクト,47,1,統計処理の種類,(see Code table 4.10),,4.10,,Local
実況雨量全国合成プロダクト,48,1,統計処理の時間増分の種類,(see Code table 4.11),,4.11,,Local
実況雨量全国合成プロダクト,49,1,統計処理の時間の単位の指示符,(see Code table 4.4),,4.4,,Local
実況雨量全国合成プロダクト,50-53,4,統計処理した期間の長さ,,,,,Local
実況雨量全国合成プロダクト,54,1,連続的な資料場間の増分に関する時間の単位の指示符,,,,,Local
実況雨量全国合成プロダクト,55-58,4,連続的な資料場間の時間の増分,,,,,Local
実況雨量全国合成プロダクト,59-66,8,時間内のレーダー等運用情報,,,,,Local
実況雨量全国合成プロダクト,67-74,8,時間内の雨量換算係数運用情報,,,,,Local
実況雨量全国合成プロダクト,75-82,8,時間内の雨量計運用情報,,,,,Local
