Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
レーダープロダクト（高度別統計値）,10,1,パラメータカテゴリー,(see Code table 4.1),,4.1,,Local
レーダープロダクト（高度別統計値）,11,1,パラメータ番号,(see Code table 4.2),,4.2,,Local
レーダープロダクト（高度別統計値）,12,1,作成処理の種類,(see Code table 4.3),,4.3,,Local
レーダープロダクト（高度別統計値）,13,1,統計処理の種類,(see Code table 4.10),,4.10,,Local
レーダープロダクト（高度別統計値）,14,1,用いたレーダーサイトの数,,,,,Local
レーダープロダクト（高度別統計値）,15,1,期間の単位の指示符,(see Code table 4.4),,4.4,,Local
レーダープロダクト（高度別統計値）,16-19,4,レーダーサイトの緯度（10^-6 度単位）,,,,,Local
レーダープロダクト（高度別統計値）,20-23,4,レーダーサイトの経度（10^-6 度単位）,,,,,Local
レーダープロダクト（高度別統計値）,24-25,2,レーダーサイトの標高（1 m 単位）,,,,,Local
レーダープロダクト（高度別統計値）,26-29,4,レーダーサイトID（英数字）,,,,,Local
レーダープロダクト（高度別統計値）,30-31,2,レーダーサイトID（数字）,,,,,Local
レーダープロダクト（高度別統計値）,32,1,運用モード,(see Code table 4.12),,4.12,,Local
レーダープロダクト（高度別統計値）,33,1,反射更正定数（1/10 dB 単位）,,,,,Local
レーダープロダクト（高度別統計値）,34,1,品質管理指示符,(see Code table 4.13),,4.13,,Local
レーダープロダクト（高度別統計値）,35,1,クラッターフィルター指示符,(see Code table 4.14),,4.14,,Local
レーダープロダクト（高度別統計値）,36-37,2,アンテナ高度角定数（1/10 度単位）,,,,,Local
レーダープロダクト（高度別統計値）,38-39,2,資料の参照時刻からの観測時間,,,,,Local
レーダープロダクト（高度別統計値）,40,1,エコー頂の参照反射率 (reference reflectivity)（1 dB 単位）,,,,,Local
レーダープロダクト（高度別統計値）,41-43,3,距離ビン間隔 (range bin spacing)（1 m 単位）,,,,,Local
レーダープロダクト（高度別統計値）,44-45,2,径線角度間隔 (radial angular spacing)（1/10 度単位）,,,,,Local
